kobo_name,db_name,action,,
"⚠️Confirm the following response 
Father's Name: ${father_info}
Mother's Name: ${mothername},
Child's Name: ${child_name},
Child's Gender: ${child_gender},
child's ID: ${c_id}",,drop,,
_parent_table_name,,drop,,
_submission__submission_time,,drop,,
_submission__validation_status,,drop,,
_submission__notes,,drop,,
_submission__status,,drop,,
_submission__submitted_by,,drop,,
_submission___version__,,drop,,
_submission__tags,,drop,,
_submission_meta/rootUuid,,drop,,
Q61. Name of Child ${ch_id},,drop,,
